Round,Scenario,CPU Energy,GPU Energy,Total Energy,Total Time
1,1,396.70,416.71,813.41,15
2,1,386.55,436.80,823.35,15
3,1,506.32,537.55,1043.87,15
1,2,0.00,0.00,0.00,0
2,2,0.00,0.00,0.00,1
3,2,0.00,0.00,0.00,0
1,3,96.50,57.05,153.55,3
2,3,100.45,128.64,229.09,2
3,3,97.65,60.26,157.91,2
1,4,539.76,379.56,919.32,11
2,4,543.10,494.92,1038.02,12
3,4,537.74,452.22,989.96,12
